date,title,name,type,constellation
2008-01-05,M51: Cosmic Whirlpool,Canes Venatici,Constellation,NA
2008-01-06,Jupiter's Rings Revealed,Jupiter,Planet,NA
2008-01-06,Jupiter's Rings Revealed,Sun,Star,NA
2008-01-06,Jupiter's Rings Revealed,Adrastea,Moon,NA
2008-01-07,Quadrantid Meteors and Aurora from the Air,Comet,Comet,NA
2008-01-07,Quadrantid Meteors and Aurora from the Air,Asteroid,Asteroid,NA
2008-01-08,A Jupiter-Io Montage from New Horizons,Jupiter,Planet,NA
2008-01-08,A Jupiter-Io Montage from New Horizons,Io,Moon,NA
2008-01-08,A Jupiter-Io Montage from New Horizons,Pluto,Planet,NA
2008-01-09,Hidden Galaxy IC 342 from Kitt Peak,IC 342,Galaxy,NA
2008-01-09,Hidden Galaxy IC 342 from Kitt Peak,Milky Way,Galaxy,NA
2008-01-09,Hidden Galaxy IC 342 from Kitt Peak,Giraffe,Constellation,NA
2008-01-10,Active Galaxy Centaurus A,Centaurus A,Galaxy,NA
2008-01-10,Active Galaxy Centaurus A,Sun,Star,NA
2008-01-10,Active Galaxy Centaurus A,Black Hole,Black Hole,NA
2008-01-10,Active Galaxy Centaurus A,Neutron Stars,Star,NA
2008-01-11,Polaris Dust Nebula,Polaris,Star,NA
2008-01-11,Polaris Dust Nebula,Milky Way Galaxy,Galaxy,NA
2008-01-11,Polaris Dust Nebula,Nebula,Nebula,NA
2008-01-12,Mercury Chases the Sunset,Moon,Moon,NA
2008-01-12,Mercury Chases the Sunset,Sun,Star,NA
2008-01-12,Mercury Chases the Sunset,Mercury,Planet,NA
2008-01-14,The Cocoon Nebula from CFHT,Cocoon Nebula,Nebula,NA
2008-01-14,The Cocoon Nebula from CFHT,Swan,Constellation,NA
2008-01-14,The Cocoon Nebula from CFHT,star,Star,NA
2008-01-15,Double Supernova Remnants DEM L316,DEM L316,Nebula,NA
2008-01-15,Double Supernova Remnants DEM L316,White Dwarf,Star,NA
2008-01-15,Double Supernova Remnants DEM L316,Large Magellanic Cloud,Galaxy,NA
2008-01-16,MESSENGER Passes Mercury,Mercury,Planet,NA
2008-01-16,MESSENGER Passes Mercury,Sun,Star,NA
2008-01-17,Thor's Emerald Helmet,Thor's Helmet,Nebula,NA
2008-01-17,Thor's Emerald Helmet,Wolf-Rayet star,Star,NA
2008-01-17,Thor's Emerald Helmet,NGC 2359,Nebula,NA
2008-01-17,Thor's Emerald Helmet,Canis Major,Constellation,NA
2008-01-18,Supernova Factory NGC 2770,Supernova,Star,NA
2008-01-18,Supernova Factory NGC 2770,NGC 2770,Galaxy,NA
2008-01-18,Supernova Factory NGC 2770,Lynx,Constellation,NA
2008-01-19,Starry Night Castle,Pleiades,Cluster,NA
2008-01-19,Starry Night Castle,Aldebaran,Star,NA
2008-01-19,Starry Night Castle,Comet Holmes,Comet,NA
2008-01-20,Comet McNaught Over Chile,Comet McNaught,Comet,NA
2008-01-20,Comet McNaught Over Chile,Moon,Moon,NA
2008-01-20,Comet McNaught Over Chile,Comet Holmes,Comet,NA
2008-01-21,Mercury's Horizon from MESSENGER,Mercury,Planet,NA
2008-01-21,Mercury's Horizon from MESSENGER,Sun,Star,NA
2008-01-21,Mercury's Horizon from MESSENGER,Moon,Moon,NA
2008-01-22,Shelf Cloud Over Saskatchewan,Sun,Star,NA
2008-01-23,Orbiting Astronaut Reflects Earth,International Space Station,Cluster,NA
2008-01-24,Andromeda Island Universe,Andromeda Galaxy,Galaxy,NA
2008-01-24,Andromeda Island Universe,Milky Way Galaxy,Galaxy,NA
2008-01-24,Andromeda Island Universe,Andromeda,Constellation,NA
2008-01-25,Winter Night at Pic du Midi,Mars,Planet,NA
2008-01-25,Winter Night at Pic du Midi,Orion,Constellation,NA
2008-01-25,Winter Night at Pic du Midi,Gemini,Constellation,NA
2008-01-26,Crescent Mercury in Color,Mercury,Planet,NA
2008-01-27,Mercury on the Horizon,Mercury,Planet,NA
2008-01-27,Mercury on the Horizon,Sun,Star,NA
2008-01-28,A Solar Eclipse Painting from the 1700s,Sun,Star,NA
2008-01-28,A Solar Eclipse Painting from the 1700s,Moon,Moon,NA
2008-01-29,West Valley Panorama from the Spirit Rover on Mars,Mars,Planet,NA
2008-01-30,Asteroid 2007 TU24 Passes the Earth,Asteroid 2007 TU24,Asteroid,NA
2008-01-30,Asteroid 2007 TU24 Passes the Earth,Moon,Moon,NA
2008-01-31,Young Star Cluster Westerlund 2,Westerlund 2,Cluster,NA
2008-01-31,Young Star Cluster Westerlund 2,RCW 49,Nebula,NA
2008-01-31,Young Star Cluster Westerlund 2,Centaurus,Constellation,NA
2008-02-01,The First Explorer,Van Allen Radiation Belt,Nebula,NA
2008-02-02,Venus and Jupiter in Morning Skies,Venus,Planet,NA
2008-02-02,Venus and Jupiter in Morning Skies,Jupiter,Planet,NA
2008-02-02,Venus and Jupiter in Morning Skies,Sun,Star,NA
2008-02-02,Venus and Jupiter in Morning Skies,Moon,Moon,NA
2008-02-03,Light Echoes from V838 Mon,V838 Mon,Star,NA
2008-02-03,Light Echoes from V838 Mon,Milky Way Galaxy,Galaxy,NA
2008-02-03,Light Echoes from V838 Mon,Monoceros,Constellation,NA
2008-02-04,A Spider Shaped Crater on Mercury,Mercury,Planet,NA
2008-02-04,A Spider Shaped Crater on Mercury,Sun,Star,NA
2008-02-05,Three Month Composite of Comet Holmes,Comet Holmes,Comet,NA
2008-02-05,Three Month Composite of Comet Holmes,Mars,Planet,NA
2008-02-05,Three Month Composite of Comet Holmes,Sun,Star,NA
2008-02-06,Sunspot in the Old Solar Cycle,Sun,Star,NA
2008-02-07,NGC 4013 and the Tidal Stream,NGC 4013,Galaxy,NA
2008-02-07,NGC 4013 and the Tidal Stream,Ursa Major,Constellation,NA
2008-02-07,NGC 4013 and the Tidal Stream,Milky Way,Galaxy,NA
2008-02-08,The Bay of Rainbows,Moon,Moon,NA
2008-02-08,The Bay of Rainbows,Mare Imbrium,Moon,NA
2008-02-08,The Bay of Rainbows,Sinus Iridum,Moon,NA
2008-02-08,The Bay of Rainbows,Jura Mountains,Moon,NA
2008-02-08,The Bay of Rainbows,Cape Laplace,Moon,NA
2008-02-08,The Bay of Rainbows,Cape Heraclides,Moon,NA
2008-02-09,Atlantis on Pad 39A,International Space Station,Cluster,NA
2008-02-10,Abell 2218: A Galaxy Cluster Lens,Galaxy,Galaxy,NA
2008-02-10,Abell 2218: A Galaxy Cluster Lens,Abell 2218,Cluster,NA
2008-02-10,Abell 2218: A Galaxy Cluster Lens,Dragon,Constellation,NA
2008-02-10,Abell 2218: A Galaxy Cluster Lens,galaxy,Galaxy,NA
2008-02-11,"Saturn's Moon Epimetheus from the Cassini Spacecraft
",Saturn,Planet,NA
2008-02-11,"Saturn's Moon Epimetheus from the Cassini Spacecraft
",Epimetheus,Moon,NA
2008-02-11,"Saturn's Moon Epimetheus from the Cassini Spacecraft
",Janus,Moon,NA
2008-02-12,Echoes from RS Pup,RS Pup,Star,NA
2008-02-12,Echoes from RS Pup,Nebula,Nebula,NA
2008-02-13,Elliptical Galaxy NGC 1132,NGC 1132,Galaxy,NA
2008-02-13,Elliptical Galaxy NGC 1132,Eridanus,Constellation,NA
2008-02-14,Long Stem Rosette,Rosette Nebula,Nebula,NA
2008-02-14,Long Stem Rosette,NGC 2244,Cluster,NA
2008-02-14,Long Stem Rosette,Monoceros,Constellation,NA
2008-02-15,Young Stars in the Rho Ophiuchi Cloud,Rho Ophiuchi Cloud,Nebula,NA
2008-02-15,Young Stars in the Rho Ophiuchi Cloud,Ophiuchus,Constellation,NA
2008-02-15,Young Stars in the Rho Ophiuchi Cloud,Sun,Star,NA
2008-02-16,Large Binocular Telescope,Milky Way,Galaxy,NA
2008-02-17,M1: The Crab Nebula from Hubble,Crab Nebula,Nebula,NA
2008-02-17,M1: The Crab Nebula from Hubble,Pulsar,Star,NA
2008-02-17,M1: The Crab Nebula from Hubble,Sun,Star,NA
2008-02-18,BLG-109: A Distant Version of our own Solar System,Jupiter,Planet,NA
2008-02-18,BLG-109: A Distant Version of our own Solar System,Saturn,Planet,NA
2008-02-18,BLG-109: A Distant Version of our own Solar System,Sun,Star,NA
2008-02-19,Columbus Laboratory Installed on Space Station,Moon,Moon,NA
2008-02-20,Moon Slide Slim,Moon,Moon,NA
2008-02-20,Moon Slide Slim,stars,Star,NA
2008-02-21,Orion's Horsehead Nebula,Horsehead Nebula,Nebula,NA
2008-02-21,Orion's Horsehead Nebula,Orion,Constellation,NA
2008-02-22,Eclipsed Moonlight,Moon,Moon,NA
2008-02-22,Eclipsed Moonlight,Saturn,Planet,NA
2008-02-22,Eclipsed Moonlight,Regulus,Star,NA
2008-02-22,Eclipsed Moonlight,Leo,Constellation,NA
2008-02-23,Stereo Space Station,Moon,Moon,NA
2008-02-24,NGC 4676: When Mice Collide,Mice,Galaxy,NA
2008-02-24,NGC 4676: When Mice Collide,spiral galaxy,Galaxy,NA
2008-02-24,NGC 4676: When Mice Collide,Coma Cluster of Galaxies,Cluster,NA
2008-02-24,NGC 4676: When Mice Collide,Bernice's Hair,Constellation,NA
2008-02-25,"Dawn of the Large 
Hadron Collider",Black Hole,Black Hole,NA
2008-02-26,Mysterious Acid Haze on Venus,Venus,Planet,NA
2008-02-27,"The Eagle Nebula in Hydrogen, Oxygen, and Sulfur",Eagle Nebula,Nebula,NA
2008-02-27,"The Eagle Nebula in Hydrogen, Oxygen, and Sulfur",Pillars of Creation,Nebula,NA
2008-02-27,"The Eagle Nebula in Hydrogen, Oxygen, and Sulfur",Fairy,Nebula,NA
2008-02-27,"The Eagle Nebula in Hydrogen, Oxygen, and Sulfur",M16,Cluster,NA
2008-02-27,"The Eagle Nebula in Hydrogen, Oxygen, and Sulfur",Serpens,Constellation,NA
2008-02-28,ISS: Sunlight to Shadow,Moon,Moon,NA
2008-02-29,Twelve Lunar Eclipses,Moon,Moon,NA
2008-03-01,Mauna Kea Shadow Play,Sun,Star,NA
2008-03-01,Mauna Kea Shadow Play,Moon,Moon,NA
2008-03-02,Comet Hale-Bopp Over Val Parola Pass,Comet Hale-Bopp,Comet,NA
2008-03-03,Sand Dunes Thawing on Mars,Mars,Planet,NA
2008-03-03,Sand Dunes Thawing on Mars,North Pole,Planet,NA
2008-03-04,NGC 6334: The Cat's Paw Nebula,Cat's Paw Nebula,Nebula,NA
2008-03-04,NGC 6334: The Cat's Paw Nebula,Scorpius,Constellation,NA
2008-03-04,NGC 6334: The Cat's Paw Nebula,Sun,Star,NA
2008-03-05,The International Space Station Expands Again,Sun,Star,NA
2008-03-06,Vela Supernova Remnant,Vela Supernova Remnant,Nebula,NA
2008-03-06,Vela Supernova Remnant,Vela Pulsar,Star,NA
2008-03-06,Vela Supernova Remnant,Gum Nebula,Nebula,NA
2008-03-06,Vela Supernova Remnant,Pencil Nebula,Nebula,NA
2008-03-06,Vela Supernova Remnant,Milky Way Galaxy,Galaxy,NA
2008-03-06,Vela Supernova Remnant,Vela,Constellation,NA
2008-03-07,Comet over California,Comet Holmes,Comet,NA
2008-03-07,Comet over California,California Nebula,Nebula,NA
2008-03-07,Comet over California,Milky Way Galaxy,Galaxy,NA
2008-03-07,Comet over California,Mars,Planet,NA
2008-03-07,Comet over California,Xi Persei,Star,NA
2008-03-08,M104 Hubble Remix,Sombrero Galaxy,Galaxy,NA
2008-03-08,M104 Hubble Remix,Virgo Galaxy Cluster,Cluster,NA
2008-03-09,CMBR Dipole: Speeding Through the Universe,Sun,Star,NA
2008-03-09,CMBR Dipole: Speeding Through the Universe,Milky Way Galaxy,Galaxy,NA
2008-03-09,CMBR Dipole: Speeding Through the Universe,Local Group,Galaxy,NA
2008-03-09,CMBR Dipole: Speeding Through the Universe,Virgo Cluster,Cluster,NA
2008-03-10,Planets Align Over Australian Radio Telescope Array,Mercury,Planet,NA
2008-03-10,Planets Align Over Australian Radio Telescope Array,Venus,Planet,NA
2008-03-10,Planets Align Over Australian Radio Telescope Array,Moon,Moon,NA
2008-03-11,An Avalanche on Mars,Mars,Planet,NA
2008-03-11,An Avalanche on Mars,Sun,Star,NA
2008-03-12,Star Forming Region LH 95,Large Magellanic Cloud,Galaxy,NA
2008-03-12,Star Forming Region LH 95,Swordfish (Dorado),Constellation,NA
2008-03-12,Star Forming Region LH 95,LH 95,Nebula,NA
2008-03-13,Sculpting the South Pillar,Eta Carinae,Star,NA
2008-03-13,Sculpting the South Pillar,Carina Nebula,Nebula,NA
2008-03-14,Endeavour into the Night,Sun,Star,NA
2008-03-14,Endeavour into the Night,Moon,Moon,NA
2008-03-14,Endeavour into the Night,International Space Station,Cluster,NA
2008-03-15,Moon over Byzantium,Moon,Moon,NA
2008-03-15,Moon over Byzantium,Sun,Star,NA
2008-03-16,Endeavour to Orbit,International Space Station,Cluster,NA
2008-03-16,Endeavour to Orbit,Earth,Planet,NA
2008-03-17,Thirty Thousand Kilometers Above Enceladus,Saturn,Planet,NA
2008-03-17,Thirty Thousand Kilometers Above Enceladus,Enceladus,Moon,NA
2008-03-18,M78 and Reflecting Dust Clouds in Orion,M78,Nebula,NA
2008-03-18,M78 and Reflecting Dust Clouds in Orion,Orion,Constellation,NA
2008-03-18,M78 and Reflecting Dust Clouds in Orion,NGC 2071,Nebula,NA
2008-03-18,M78 and Reflecting Dust Clouds in Orion,Great Nebula in Orion,Nebula,NA
2008-03-18,M78 and Reflecting Dust Clouds in Orion,Horsehead Nebula,Nebula,NA
2008-03-19,Mercury in Accentuated Color,Mercury,Planet,NA
2008-03-19,Mercury in Accentuated Color,Caloris Basin,Planet,NA
2008-03-20,Sunset: Planet Earth,Sun,Star,NA
2008-03-21,Where is HD 189733?,HD 189733,Star,NA
2008-03-21,Where is HD 189733?,Cygnus,Constellation,NA
2008-03-21,Where is HD 189733?,planet,Planet,NA
2008-03-22,Cat's Eye Hubble Remix,Cat's Eye Nebula,Nebula,NA
2008-03-22,Cat's Eye Hubble Remix,Sun,Star,NA
2008-03-23,Molecular Cloud Barnard 68,Barnard 68,Nebula,NA
2008-03-23,Molecular Cloud Barnard 68,Ophiuchus,Constellation,NA
2008-03-23,Molecular Cloud Barnard 68,stars,Star,NA
2008-03-24,Saturn and Titan from Cassini,Saturn,Planet,NA
2008-03-24,Saturn and Titan from Cassini,Titan,Moon,NA
2008-03-25,Galaxy Wars: M81 versus M82,M81,Galaxy,NA
2008-03-25,Galaxy Wars: M81 versus M82,M82,Galaxy,NA
2008-03-26,The NGC 3576 Nebula,NGC 3576 Nebula,Nebula,NA
2008-03-26,The NGC 3576 Nebula,Milky Way Galaxy,Galaxy,NA
2008-03-26,The NGC 3576 Nebula,Eta Carinae Nebula,Nebula,NA
2008-03-26,The NGC 3576 Nebula,NGC 3603,Nebula,NA
2008-03-26,The NGC 3576 Nebula,Carina,Constellation,NA
2008-03-27,The N44 Complex,Large Magellanic Cloud,Galaxy,NA
2008-03-27,The N44 Complex,N44,Nebula,NA
2008-03-28,Across the Universe,Milky Way Galaxy,Galaxy,NA
2008-03-28,Across the Universe,Andromeda Galaxy,Galaxy,NA
2008-03-28,Across the Universe,Bootes,Constellation,NA
2008-03-29,Spiral Galaxy NGC 2841,NGC 2841,Galaxy,NA
2008-03-29,Spiral Galaxy NGC 2841,Milky Way Galaxy,Galaxy,NA
2008-03-29,Spiral Galaxy NGC 2841,Ursa Major,Constellation,NA
2008-03-30,Weak Lensing Distorts the Universe,Galaxy,Galaxy,NA
2008-03-31,Close Up of Enceladus' Tiger Stripes,Enceladus,Moon,NA
2008-03-31,Close Up of Enceladus' Tiger Stripes,Saturn,Planet,NA
2008-03-31,Close Up of Enceladus' Tiger Stripes,Comet,Comet,NA
2008-04-02,Globular Cluster M55 from CFHT,Globular Cluster M55,Cluster,NA
2008-04-02,Globular Cluster M55 from CFHT,Milky Way Galaxy,Galaxy,NA
2008-04-02,Globular Cluster M55 from CFHT,Sagittarius,Constellation,NA
2008-04-03,South of Orion,Orion Nebula,Nebula,NA
2008-04-03,South of Orion,Waterfall Nebula,Nebula,NA
2008-04-03,South of Orion,NGC 1999,Nebula,NA
2008-04-03,South of Orion,Orion molecular cloud complex,Nebula,NA
2008-04-04,Layers in Aureum Chaos,Mars,Planet,NA
2008-04-04,Layers in Aureum Chaos,Valles Marineris,Galaxy,NA
2008-04-05,Jules Verne in Orbit,International Space Station,Cluster,NA
2008-04-06,Wisps Surrounding the Horsehead Nebula,Horsehead Nebula,Nebula,NA
2008-04-06,Wisps Surrounding the Horsehead Nebula,Orion,Constellation,NA
2008-04-07,Mysterious White Rock Fingers on Mars,Mars,Planet,NA
2008-04-08,Southern Orion: From Belt to Witch,Alnitak,Star,NA
2008-04-08,Southern Orion: From Belt to Witch,Flame Nebula,Nebula,NA
2008-04-08,Southern Orion: From Belt to Witch,Horsehead Nebula,Nebula,NA
2008-04-08,Southern Orion: From Belt to Witch,Orion Nebula,Nebula,NA
2008-04-08,Southern Orion: From Belt to Witch,Rigel,Star,NA
2008-04-08,Southern Orion: From Belt to Witch,Witch Head Nebula,Nebula,NA
2008-04-08,Southern Orion: From Belt to Witch,Barnard's Loop,Nebula,NA
2008-04-08,Southern Orion: From Belt to Witch,Orion,Constellation,NA
2008-04-09,A Large Magellanic Cloud Deep Field,Large Magellanic Cloud,Galaxy,NA
2008-04-09,A Large Magellanic Cloud Deep Field,Milky Way Galaxy,Galaxy,NA
2008-04-09,A Large Magellanic Cloud Deep Field,Small Magellanic Cloud,Galaxy,NA
2008-04-09,A Large Magellanic Cloud Deep Field,Dorado,Constellation,NA
2008-04-09,A Large Magellanic Cloud Deep Field,SN1987A,Star,NA
2008-04-10,Stickney Crater,Phobos,Moon,NA
2008-04-10,Stickney Crater,Mars,Planet,NA
2008-04-11,"At first, he couldn't see the Moon",Moon,Moon,NA
2008-04-13,Curious Cometary Knots in the Helix Nebula,Helix Nebula,Nebula,NA
2008-04-13,Curious Cometary Knots in the Helix Nebula,Ring Nebula,Nebula,NA
2008-04-13,Curious Cometary Knots in the Helix Nebula,Dumbbell Nebula,Nebula,NA
2008-04-13,Curious Cometary Knots in the Helix Nebula,Eskimo Nebula,Nebula,NA
2008-04-13,Curious Cometary Knots in the Helix Nebula,Pluto,Planet,NA
2008-04-13,Curious Cometary Knots in the Helix Nebula,Aquarius,Constellation,NA
2008-04-14,Phobos: Doomed Moon of Mars,Mars,Planet,NA
2008-04-14,Phobos: Doomed Moon of Mars,Phobos,Moon,NA
2008-04-14,Phobos: Doomed Moon of Mars,Deimos,Moon,NA
2008-04-14,Phobos: Doomed Moon of Mars,Jupiter,Planet,NA
2008-04-14,Phobos: Doomed Moon of Mars,Asteroid,Asteroid,NA
2008-04-15,Sky Delights Over Sweden,Heart Nebula,Nebula,NA
2008-04-15,Sky Delights Over Sweden,Soul Nebula,Nebula,NA
2008-04-15,Sky Delights Over Sweden,IC 1396,Nebula,NA
2008-04-15,Sky Delights Over Sweden,North America Nebula,Nebula,NA
2008-04-15,Sky Delights Over Sweden,Milky Way Galaxy,Galaxy,NA
2008-04-15,Sky Delights Over Sweden,Andromeda galaxy,Galaxy,NA
2008-04-16,A Protected Night Sky Over Flagstaff,Milky Way Galaxy,Galaxy,NA
2008-04-16,A Protected Night Sky Over Flagstaff,Cassiopeia,Constellation,NA
2008-04-16,A Protected Night Sky Over Flagstaff,Cepheus,Constellation,NA
2008-04-16,A Protected Night Sky Over Flagstaff,Cygnus,Constellation,NA
2008-04-16,A Protected Night Sky Over Flagstaff,North America Nebula,Nebula,NA
2008-04-16,A Protected Night Sky Over Flagstaff,Deneb,Star,NA
2008-04-17,Messier 63: The Sunflower Galaxy,Sunflower Galaxy,Galaxy,NA
2008-04-17,Messier 63: The Sunflower Galaxy,Milky Way,Galaxy,NA
2008-04-17,Messier 63: The Sunflower Galaxy,Canes Venatici,Constellation,NA
2008-04-18,IC 2948: The Running Chicken Nebula,Running Chicken Nebula,Nebula,NA
2008-04-18,IC 2948: The Running Chicken Nebula,Eta Carinae Nebula,Nebula,NA
2008-04-18,IC 2948: The Running Chicken Nebula,Collinder 249,Cluster,NA
2008-04-18,IC 2948: The Running Chicken Nebula,Thackeray's Globules,Nebula,NA
2008-04-18,IC 2948: The Running Chicken Nebula,Lambda Centauri,Star,NA
2008-04-18,IC 2948: The Running Chicken Nebula,Centaurus,Constellation,NA
2008-04-19,Running Messier's Marathon,Moon,Moon,NA
2008-04-20,Spiral Galaxies in Collision,NGC 2207,Galaxy,NA
2008-04-20,Spiral Galaxies in Collision,IC 2163,Galaxy,NA
2008-04-22,The Fox Fur Nebula from CFHT,Fox Fur Nebula,Nebula,NA
2008-04-22,The Fox Fur Nebula from CFHT,S Mon,Star,NA
2008-04-22,The Fox Fur Nebula from CFHT,NGC 2264,Cluster,NA
2008-04-22,The Fox Fur Nebula from CFHT,Cone Nebula,Nebula,NA
2008-04-22,The Fox Fur Nebula from CFHT,Monoceros,Constellation,NA
2008-04-23,Above the Clouds,Moon,Moon,NA
2008-04-23,Above the Clouds,Venus,Planet,NA
2008-04-23,Above the Clouds,Milky Way,Galaxy,NA
2008-04-24,Cygnus Without Stars,Cygnus,Constellation,NA
2008-04-24,Cygnus Without Stars,Milky Way,Galaxy,NA
2008-04-24,Cygnus Without Stars,Deneb,Star,NA
2008-04-24,Cygnus Without Stars,North America Nebula,Nebula,NA
2008-04-24,Cygnus Without Stars,Pelican Nebula,Nebula,NA
2008-04-24,Cygnus Without Stars,Butterfly Nebula,Nebula,NA
2008-04-24,Cygnus Without Stars,Crescent Nebula,Nebula,NA
2008-04-25,M86 in the Virgo Cluster,M86,Galaxy,NA
2008-04-25,M86 in the Virgo Cluster,Virgo Cluster,Cluster,NA
2008-04-25,M86 in the Virgo Cluster,M84,Galaxy,NA
2008-04-25,M86 in the Virgo Cluster,NGC4388,Galaxy,NA
2008-04-25,M86 in the Virgo Cluster,Markarian's Eyes,Galaxy,NA
2008-04-25,M86 in the Virgo Cluster,NGC 4402,Galaxy,NA
2008-04-26,The Tarantula Zone,Large Magellanic Cloud,Galaxy,NA
2008-04-26,The Tarantula Zone,Tarantula Nebula,Nebula,NA
2008-04-26,The Tarantula Zone,R136,Cluster,NA
2008-04-26,The Tarantula Zone,Supernova 1987a,Star,NA
2008-04-26,The Tarantula Zone,Dorado,Constellation,NA
2008-04-27,The Galactic Center Radio Arc,Galactic Center Radio Arc,Nebula,NA
2008-04-27,The Galactic Center Radio Arc,Arches,Nebula,NA
2008-04-27,The Galactic Center Radio Arc,Sagittarius A*,Black Hole,NA
2008-04-28,Star Forming Region NGC 3582,NGC 3582,Nebula,NA
2008-04-28,Star Forming Region NGC 3582,RCW 57,Nebula,NA
2008-04-28,Star Forming Region NGC 3582,Sun,Star,NA
2008-04-29,Airplane Flight Patterns over the USA,Sun,Star,NA
2008-04-30,Arp 272,Andromeda Galaxy,Galaxy,NA
2008-04-30,Arp 272,Milky Way,Galaxy,NA
2008-04-30,Arp 272,Arp 272,Galaxy,NA
2008-04-30,Arp 272,NGC 6050,Galaxy,NA
2008-04-30,Arp 272,IC 1179,Galaxy,NA
2008-04-30,Arp 272,Hercules Galaxy Cluster,Cluster,NA
2008-05-01,The Giants of Omega Centauri,Omega Centauri,Cluster,NA
2008-05-01,The Giants of Omega Centauri,Milky Way,Galaxy,NA
2008-05-01,The Giants of Omega Centauri,Red Giant Stars,Star,NA
2008-05-01,The Giants of Omega Centauri,Sun,Star,NA
2008-05-01,The Giants of Omega Centauri,galaxies,Galaxy,NA
2008-05-02,Shaping NGC 6188,NGC 6188,Nebula,NA
2008-05-02,Shaping NGC 6188,Ara,Constellation,NA
2008-05-03,Alborz Mountain Milky Way,Milky Way Galaxy,Galaxy,NA
2008-05-03,Alborz Mountain Milky Way,Big Dipper,Constellation,NA
2008-05-03,Alborz Mountain Milky Way,Ursa Major,Constellation,NA
2008-05-03,Alborz Mountain Milky Way,Deneb,Star,NA
2008-05-03,Alborz Mountain Milky Way,Altair,Star,NA
2008-05-03,Alborz Mountain Milky Way,Jupiter,Planet,NA
2008-05-03,Alborz Mountain Milky Way,Antares,Star,NA
2008-05-04,An Antarctic Total Solar Eclipse,Sun,Star,NA
2008-05-04,An Antarctic Total Solar Eclipse,Moon,Moon,NA
2008-05-05,A Persistent Electrical Storm on Saturn,Saturn,Planet,NA
2008-05-05,A Persistent Electrical Storm on Saturn,Janus,Moon,NA
2008-05-06,Galaxies Collide in NGC 3256,NGC 3256,Galaxy,NA
2008-05-06,Galaxies Collide in NGC 3256,Hydra-Centaurus,Cluster,NA
2008-05-07,The Gegenschein Over Chile,Sun,Star,NA
2008-05-07,The Gegenschein Over Chile,Andromeda galaxy,Galaxy,NA
2008-05-07,The Gegenschein Over Chile,Pleiades,Cluster,NA
2008-05-07,The Gegenschein Over Chile,Asteroid,Asteroid,NA
2008-05-08,The Dark Tower in Scorpius,Scorpius,Constellation,NA
2008-05-08,The Dark Tower in Scorpius,Crab Nebula,Nebula,NA
2008-05-08,The Dark Tower in Scorpius,NGC 6231,Cluster,NA
2008-05-09,Moon Meets Mercury,Moon,Moon,NA
2008-05-09,Moon Meets Mercury,Mercury,Planet,NA
2008-05-09,Moon Meets Mercury,Mars,Planet,NA
2008-05-09,Moon Meets Mercury,Sun,Star,NA
2008-05-10,Stars and Mars,Mars,Planet,NA
2008-05-10,Stars and Mars,Castor,Star,NA
2008-05-10,Stars and Mars,Pollux,Star,NA
2008-05-10,Stars and Mars,Procyon,Star,NA
2008-05-10,Stars and Mars,Beehive Cluster,Cluster,NA
2008-05-10,Stars and Mars,Moon,Moon,NA
2008-05-11,Retrograde Mars,Mars,Planet,NA
2008-05-11,Retrograde Mars,Sun,Star,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",M81,Galaxy,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",M82,Galaxy,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",Integrated Flux Nebula,Nebula,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",Milky Way Galaxy,Galaxy,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",Local Group,Galaxy,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",Virgo Cluster,Cluster,NA
2008-05-12,"The M81 Galaxy Group Through the Integrated Flux Nebula 
",Virgo Supercluster,Galaxy,NA
2008-05-13,Ancient Craters of Southern Rhea,Rhea,Moon,NA
2008-05-13,Ancient Craters of Southern Rhea,Saturn,Planet,NA
2008-05-13,Ancient Craters of Southern Rhea,Titan,Moon,NA
2008-05-14,A Supply Ship Docks with the International Space Station,Moon,Moon,NA
2008-05-14,A Supply Ship Docks with the International Space Station,Sun,Star,NA
2008-05-15,Sideways Galaxy NGC 3628,NGC 3628,Galaxy,NA
2008-05-15,Sideways Galaxy NGC 3628,Milky Way Galaxy,Galaxy,NA
2008-05-15,Sideways Galaxy NGC 3628,M66,Galaxy,NA
2008-05-15,Sideways Galaxy NGC 3628,M65,Galaxy,NA
2008-05-15,Sideways Galaxy NGC 3628,Leo,Constellation,NA
2008-05-16,Circles in the Sky,Sun,Star,NA
2008-05-17,Logarithmic Spirals,Pinwheel Galaxy,Galaxy,NA
2008-05-18,On the Origin of Gold,Neutron Star,Star,NA
2008-05-18,On the Origin of Gold,Sun,Star,NA
2008-05-19,Flying Over the Columbia Hills of Mars,Mars,Planet,NA
2008-05-19,Flying Over the Columbia Hills of Mars,Home Plate,Asteroid,NA
2008-05-20,The Perseus Cluster of Galaxies,Perseus Cluster,Cluster,NA
2008-05-20,The Perseus Cluster of Galaxies,Milky Way Galaxy,Galaxy,NA
2008-05-20,The Perseus Cluster of Galaxies,NGC 1275,Galaxy,NA
